tweet,label,label_name,cleaned_text
@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣,2,positive,Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB,2,positive,I na atupuru ndi nzuzu onu
@user @user Nzuzu ya di few mush!,2,positive,Nzuzu ya di few mush!
"@user aunty mi, e ne we iwe oku oh",2,positive,"aunty mi, e ne we iwe oku oh"
@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti,2,positive,Ị na ańaa ifeanyi ọnụ ọjọọ nti
@user @user biko dutelu anyi mmadu from mgbago inu😂,2,positive,biko dutelu anyi mmadu from mgbago inu😂
"@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒",2,positive,"Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒"
@user Ike guru m o,2,positive,Ike guru m o
@user @user Nsogbu digodi next season for Arsenal😂,2,positive,Nsogbu digodi next season for Arsenal😂
@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa,2,positive,Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa
@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??,2,positive,Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ,2,positive,Ezigbo Nonsense lmao
@user Mechie onu osiso. Iti boli bor,2,positive,Mechie onu osiso. Iti boli bor
Kilikpa lacha gi anya ebe-ahu idiot,2,positive,Kilikpa lacha gi anya ebe-ahu idiot
@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..,2,positive,Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC,2,positive,Chineke nna ekwekwala ihe ọjọọ
@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂,2,positive,As in ehn. Ndi mmadu enwero zi Obi ebele. 😂
Luiz efulefu mmadu,2,positive,Luiz efulefu mmadu
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q,2,positive,Ndị ala ndi ala Lele lekwa ha
"@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?",2,positive,"O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?"
@user Don't oo Maka ndu gi😂😂😂😂😂😂,2,positive,Don't oo Maka ndu gi😂😂😂😂😂😂
@user Ndi mbaise na enyekari nsogbu 😂,2,positive,Ndi mbaise na enyekari nsogbu 😂
@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫,2,positive,😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫
"E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2",2,positive,"E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀"
@user @user @user Ibu ezigbo okpo 3buka 🤣,2,positive,Ibu ezigbo okpo buka 🤣
"@user Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu",2,positive,"Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu"
@user Ike gwuru ndi ochichi anyi,2,positive,Ike gwuru ndi ochichi anyi
@user @user Thunder nke sị na Abaa okwia😛😛😛,2,positive,Thunder nke sị na Abaa okwia😛😛😛
"@user Ezigbo Prof ndi ala, lol IK ... ☹️",2,positive,"Ezigbo Prof ndi ala, lol IK ... ☹️"
@user Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣,2,positive,Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣
You see umuada? Ndi a bu ndi akpo oh! 😭 https://t.co/brk1e5qBSP,2,positive,You see umuada? Ndi a bu ndi akpo oh! 😭
@user @user Akuko aburo obele ya. 🤦🏼‍♀️,2,positive,Akuko aburo obele ya. 🤦🏼‍♀️
@user A gwasịa m gị 🙈,2,positive,A gwasịa m gị 🙈
@user 😂😂😂🤣 Isim hudo ya ama kwa... Nna eeh.. Once mmili malu kpam na ala uzo etiwa abuo maka chii... Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh.. Erosion welu nwayo na acho ka ojide uzo mebisia,2,positive,😂😂😂🤣 Isim hudo ya ama kwa... Nna eeh.. Once mmili malu kpam na ala uzo etiwa abuo maka chii... Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since ooh.. Erosion welu nwayo na acho ka ojide uzo mebisia
"@user @user @user Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀",2,positive,"Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀"
bitch emetụla ego m aka. Achọghị m nsogbu,2,positive,bitch emetụla ego m aka. Achọghị m nsogbu
Mechie onu biko https://t.co/xbwypM9ZfU,2,positive,Mechie onu biko
Nsogbu di kwa. https://t.co/VOg1D5j0tD,2,positive,Nsogbu di kwa.
@user @user Men na ewe iwe okwu.,2,positive,Men na ewe iwe okwu.
Aso mmiri ebe nile. Hian. https://t.co/eyhcpzCha9,2,positive,Aso mmiri ebe nile. Hian.
@user Onye ofe mmanu😒,2,positive,Onye ofe mmanu😒
@user @user Ina atupuru onye ahu onu,2,positive,Ina atupuru onye ahu onu
Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtchewwwww,2,positive,Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtche
@user Obi mmadụ ga justu gbáwá!,2,positive,Obi mmadụ ga justu gbáwá!
"@user Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu.",2,positive,"Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu."
@user Are you still in that spirit? Kwuo ezi okwu ka ihere mee ekwensu!,2,positive,Are you still in that spirit? Kwuo ezi okwu ka ihere mee ekwensu!
@user @user Anuofia. Thunder gbagbuo gi ebe ahu ino you demon,2,positive,Anuofia. Thunder gbagbuo gi ebe ahu ino you demon
Aunty Oby egbue mmadu 😭😂😂😂😂 https://t.co/yFbRwajMDJ,2,positive,Aunty Oby egbue mmadu 😭😂😂😂😂
"@user @user @user @user @user @user @user Okwa ehh, ya bụ mmili ga agba gbukwa gị one day",2,positive,"Okwa ehh, ya bụ mmili ga agba gbukwa gị one day"
"@user O. D. Egwu , O. T. Sumi",2,positive,"O. D. Egwu , O. T. Sumi"
Ala Pa ala apa? Onye para ala ala apagbuo ya,2,positive,Ala Pa ala apa? Onye para ala ala apagbuo ya
@user @user He will argue that he has changed but anya anya ka mu na-elezi uwa na ndi bi ya n'ime.,2,positive,He will argue that he has changed but anya anya ka mu na-elezi uwa na ndi bi ya n'ime.
#Erica and #Tolanibaj Ndị asịrị gbakaa ute! 🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️ #BBNaija,2,positive,Erica and Tolanibaj Ndị asịrị gbakaa ute! 🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️ BBNaija
@user Lolz Wetue mmuo gi nna.. ya bu ihe gwuru ike mana aga eme kwanu gini..,2,positive,Lolz Wetue mmuo gi nna.. ya bu ihe gwuru ike mana aga eme kwanu gini..
Nengi onye mgbu. https://t.co/422keSltmC,2,positive,Nengi onye mgbu.
"@user O na ewute m. Ha me chakwa tuoro buhari owu kwa ndi no n'ulo ga kpo ndi na ru oru beke ka ha nyere ha aka. Ka mgbe Buhari batara na ochiochi obodo a, gwa m ofu mkpuru ihe o mere n'ala igbo? Ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke.😠",2,positive,"O na ewute m. Ha me chakwa tuoro buhari owu kwa ndi no n'ulo ga kpo ndi na ru oru beke ka ha nyere ha aka. Ka mgbe Buhari batara na ochiochi obodo a, gwa m ofu mkpuru ihe o mere n'ala igbo? Ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke.😠"
@user @user @user @user @user @user @user @user @user @user @user Gbagbue gii Semi umu ikporo ogbe,2,positive,Gbagbue gii Semi umu ikporo ogbe
Afurum gi na isi https://t.co/kTuNzzDNjV,2,positive,Afurum gi na isi
"@user @user Nna, Obodo bu igwe.",2,positive,"Nna, Obodo bu igwe."
@user @user @user Lol onye zuzu numba wan. Thank you!,2,positive,Lol onye zuzu numba wan. Thank you!
Akuko gi adiro nma 😒😒😭😭 https://t.co/qe70haYsjG,2,positive,Akuko gi adiro nma 😒😒😭😭
@user Nne.. isi adirokwa gi mma o,2,positive,Nne.. isi adirokwa gi mma o
@user Chai😂 ina acho onye i ga araputa😂😂,2,positive,Chai😂 ina acho onye i ga araputa😂😂
Oji afufu eme orji 1 of Igbo land🙌 https://t.co/GFrQ7P53Ai,2,positive,Oji afufu eme orji of Igbo land🙌
Enyi a gtfo... Onye amụma ugha https://t.co/rwTFdnhSkB,2,positive,Enyi a gtfo... Onye amụma ugha
@user @user @user @user Mechie önu gi biko,2,positive,Mechie önu gi biko
@user @user @user @user @user @user @user @user @user @user @user @user Archbishop afọ nsị..... 😁😁😂,2,positive,Archbishop afọ nsị..... 😁😁😂
@user Ike gwuru ada Igbo....no mind my tweet on post oo biko,2,positive,Ike gwuru ada Igbo....no mind my tweet on post oo biko
Ndị ajọ obi https://t.co/11zwwyd4ap,2,positive,Ndị ajọ obi
Odumeje ga egbu mmadu The Sucrutum!!! https://t.co/lH8X6xLeDs,2,positive,Odumeje ga egbu mmadu The Sucrutum!!!
Miracle onye uwa oma...,2,positive,Miracle onye uwa oma...
Chineke napu ekwensu ike . Damn.😏🥴🥴🥴 https://t.co/NuWnRnLSii,2,positive,Chineke napu ekwensu ike . Damn.😏🥴🥴🥴
Ndi ogbu ara obara coven agaghi afu this one. https://t.co/NvMsCa2KjI,2,positive,Ndi ogbu ara obara coven agaghi afu this one.
"@user I swear.... E ka mụ ihe àmà, ịga áká mụ adị iberibe",2,positive,"I swear.... E ka mụ ihe àmà, ịga áká mụ adị iberibe"
Ndi Iwe n'ewe nya biko wegbuo ha Osuko Osuko nya biko sugbuo ha..... Iwe wegbukwa unu na anyi na su igbo 😂 #IgboInvasion #IgboTwitterCommunity,2,positive,Ndi Iwe n'ewe nya biko wegbuo ha Osuko Osuko nya biko sugbuo ha..... Iwe wegbukwa unu na anyi na su igbo 😂 IgboInvasion IgboTwitterCommunity
@user @user @user Ka m na-agwakwa gi oo. 😅,2,positive,Ka m na-agwakwa gi oo. 😅
"@user Oga speak English, Isi ana emebi gi?",2,positive,"Oga speak English, Isi ana emebi gi?"
@user Mmadu nkea 🤣🤣🤣Ike gwuru!,2,positive,Mmadu nkea 🤣🤣🤣Ike gwuru!
Chukwu biko napu ekwensu Ike. https://t.co/NsPEtNMAdb,2,positive,Chukwu biko napu ekwensu Ike.
杨千嬅 O dikwa egwu o! ☹️,2,positive,杨千嬅 O dikwa egwu o! ☹️
@user Gas gbakwa gi oku,2,positive,Gas gbakwa gi oku
@user lmao who's your baby? Isi adikwa gi mma? https://t.co/fRvWM9vW2A,2,positive,lmao who's your baby? Isi adikwa gi mma?
Lord Lugard and ndaa Flora..... Chukwu kpọọ unu ọkụ ooooo https://t.co/BDBYGMTpHg,2,positive,Lord Lugard and ndaa Flora..... Chukwu kpọọ unu ọkụ ooooo
"Ndi Arondizuogu enyego ya, o lie, makana Pericoma na-anyi ajo alo. https://t.co/I9TD1VwX22",2,positive,"Ndi Arondizuogu enyego ya, o lie, makana Pericoma na-anyi ajo alo."
"@user @user @user @user @user @user Chisom, ịsị adịghị gị mma!",2,positive,"Chisom, ịsị adịghị gị mma!"
@user @user @user @user @user @user @user @user @user Ọ salu go ọkụ nne??,2,positive,Ọ salu go ọkụ nne??
@user Ndi ala fa enwero problem.,2,positive,Ndi ala fa enwero problem.
@user Nwanne! Nsogbu dị o,2,positive,Nwanne! Nsogbu dị o
@user @user @user Chu-wa gi onu dia,2,positive,Chu-wa gi onu dia
Ndị a bu ndi ọjọọ 🤣🤣,2,positive,Ndị a bu ndi ọjọọ 🤣🤣
Must be nize... Ndi ara https://t.co/XbNdbA4xqJ,2,positive,Must be nize... Ndi ara
Ikechukwu onye ala https://t.co/ugzPlfZ03S,2,positive,Ikechukwu onye ala
"@user """"""""ike akụkọ adirom"""""""" the ultimate line. Tupu Amu alaputa nwoke mmadụ. 😭",2,positive,"""""""""ike akụkọ adirom"""""""" the ultimate line. Tupu Amu alaputa nwoke mmadụ. 😭"
"The run i ran today eh, Chineke ekwekwala ihe ọjọọ 😭",2,positive,"The run i ran today eh, Chineke ekwekwala ihe ọjọọ 😭"
@user @user Ndị asili gbakwa ute. 😂 😂 😂,2,positive,Ndị asili gbakwa ute. 😂 😂 😂
"@user Nna, ike dikwa! 😂😂😂😂😂",2,positive,"Nna, ike dikwa! 😂😂😂😂😂"
@user @user @user O di egwu... Anam enyo gi enyo https://t.co/xgDSocdbKR,2,positive,O di egwu... Anam enyo gi enyo
"onye ara, aturu. https://t.co/CG2Jl8lnSS",2,positive,"onye ara, aturu."
@user @user Kelechi; just negodu Njo ahia e kuru m boy... Ihe nke a odinma? Baba i no fit whine you. 😪,2,positive,Kelechi; just negodu Njo ahia e kuru m boy... Ihe nke a odinma? Baba i no fit whine you. 😪
@user @user Ndi igbo is na ara di na udi,2,positive,Ndi igbo is na ara di na udi
@user Taaaaaa mechie onu https://t.co/VTDe2M0b7G,2,positive,Taaaaaa mechie onu
@user Chai... Ihe nnwute 😢,2,positive,Chai... Ihe nnwute 😢
@user @user @user @user @user @user @user @user Na afo ka nya bụ nwa nọ wa mebisia,2,positive,Na afo ka nya bụ nwa nọ wa mebisia
@user @user Nhia bukwa mpa mmadu😔,2,positive,Nhia bukwa mpa mmadu😔
@user @user Ike agwu m te! https://t.co/n4q3PgrHqw,2,positive,Ike agwu m te!
@user Ọ dịkwa egwu dị anyị,2,positive,Ọ dịkwa egwu dị anyị
@user Ike gwụrụ eziokwu m,2,positive,Ike gwụrụ eziokwu m
Nsogbu e nwego problem...,2,positive,Nsogbu e nwego problem...
SAVAGE NDI AKPO https://t.co/JdJy8jKW79,2,positive,SAVAGE NDI AKPO
Kingsley I'm on the floor 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Onye ala nkwo akpu 🙄 https://t.co/1ItHUixWf7,2,positive,Kingsley I'm on the floor 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Onye ala nkwo akpu 🙄
😂😂😂😂 correct babe...Gwa han. Ndi ara.🤣🤣 https://t.co/o5BJ6zrFvR,2,positive,😂😂😂😂 correct babe...Gwa han. Ndi ara.🤣🤣
@user I swear. Odi ezi egwu.,2,positive,I swear. Odi ezi egwu.
@user @user Ezigbo nsogbu di!,2,positive,Ezigbo nsogbu di!
Ndi obi akpo 😂😂😂😂 https://t.co/z5s5bDKxvf,2,positive,Ndi obi akpo 😂😂😂😂
@user @user Nsogbu. Shift lemme see road jor,2,positive,Nsogbu. Shift lemme see road jor
@user @user @user @user @user @user @user @user @user Anwuola m ebe a...🤣🤣🤣,2,positive,Anwuola m ebe a...🤣🤣🤣
Guys Nsogbu dikwa #Getwet https://t.co/iverlUJJt3,2,positive,Guys Nsogbu dikwa Getwet
Lol. This team.. ndi mgbu🤡,2,positive,Lol. This team.. ndi mgbu🤡
Nwanne ara di ebe a o https://t.co/hSOn6KroIq,2,positive,Nwanne ara di ebe a o
Pink is a female colour gbuo ghi dia.. onye apari,2,positive,Pink is a female colour gbuo ghi dia.. onye apari
"Ememe a n'ụlọ ofufe? nnọọ pathetic, mmụọ ọjọọ akwadokwa ọchịchị na Igbo ala 😔 https://t.co/3MRPMbcokG",2,positive,"Ememe a n'ụlọ ofufe? nnọọ pathetic, mmụọ ọjọọ akwadokwa ọchịchị na Igbo ala 😔"
@user Ike gwuru final!,2,positive,Ike gwuru final!
@user @user Nna ike gwulu,2,positive,Nna ike gwulu
Iberibe odi ụzọ ole ụmụnne m?,2,positive,Iberibe odi ụzọ ole ụmụnne m?
@user Ihere o na eme onye Ara? 😏,2,positive,Ihere o na eme onye Ara? 😏
@user @user Owu ya. Lee gi lekwa relegation.,2,positive,Owu ya. Lee gi lekwa relegation.
@user @user @user Vuru ụwa gị gawa this morning o.,2,positive,Vuru ụwa gị gawa this morning o.
@user Loll.. Onye obi akpo🤣🤣,2,positive,Loll.. Onye obi akpo🤣🤣
"@user Nna, ndi a choro i nye mmadu high BP biko! Ahhh!!!",2,positive,"Nna, ndi a choro i nye mmadu high BP biko! Ahhh!!!"
@user Bia Nwanyi Ichoro igbu Mmadu?,2,positive,Bia Nwanyi Ichoro igbu Mmadu?
@user Ike gi agwula m hoha. 🤦🏿‍♂️,2,positive,Ike gi agwula m hoha. 🤦🏿‍♂️
@user @user @user @user @user @user @user Ara gbachikwa gị ntị there,2,positive,Ara gbachikwa gị ntị there
@user @user ha ga ejizi otele gi gbape borehole di omimi nwanna. 10 years borehole!,2,positive,ha ga ejizi otele gi gbape borehole di omimi nwanna. years borehole!
Onye oshi o🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/f9rkNndEWk,2,positive,Onye oshi o🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
@user Ina enye ya onu Ewu gambia,2,positive,Ina enye ya onu Ewu gambia
Ewo!!! Iji ya!!! Isi gi kajad!!!😍🥺 https://t.co/FILpZft1bJ,2,positive,Ewo!!! Iji ya!!! Isi gi kajad!!!😍🥺
Apama wu nnor onye apari🤣🤣🤣🤣 https://t.co/A4aYRFdZUX,2,positive,Apama wu nnor onye apari🤣🤣🤣🤣
@user @user Lmao. N ga tuba gi ime ofu ubosi.,2,positive,Lmao. N ga tuba gi ime ofu ubosi.
@user @user Loòool... onye ara ibe m🙄,2,positive,Loòool... onye ara ibe m🙄
"@user Bia nwanyi aa,iga egbu mmadu ooo,uchenna ose na adi na pepper soup ooo,oya tugharia pepper soup na asusu Igbo..@user",2,positive,"Bia nwanyi aa,iga egbu mmadu ooo,uchenna ose na adi na pepper soup ooo,oya tugharia pepper soup na asusu Igbo.."
@user @user Nawa oh.. We should now fear police more than robbers? Chukwu napukwa ekwensu ike,2,positive,Nawa oh.. We should now fear police more than robbers? Chukwu napukwa ekwensu ike
Imitation prophet abiakwa ozo https://t.co/PdBfZlc45u,2,positive,Imitation prophet abiakwa ozo
@user Nwa ibiakwa nke ne ese okwu,2,positive,Nwa ibiakwa nke ne ese okwu
@user Ina acho okwu 😭😂,2,positive,Ina acho okwu 😭😂
@user Nsogbu dikwa oh😂🤣,2,positive,Nsogbu dikwa oh😂🤣
@user @user Chaai 😭😭😭😭😭😭 Obi mgbawa this early morning... Mana nsogbu adiro,2,positive,Chaai 😭😭😭😭😭😭 Obi mgbawa this early morning... Mana nsogbu adiro
"Onye obula hapuru nke ya wee were nke onye ozo, ghotakwa na ita aka n'onu ga-aburiri nwunye di ya.",2,positive,"Onye obula hapuru nke ya wee were nke onye ozo, ghotakwa na ita aka n'onu ga-aburiri nwunye di ya."
@user @user @user @user @user @user @user @user @user Typical Igbo woman..Ndi obi akpo,2,positive,Typical Igbo woman..Ndi obi akpo
@user @user @user @user Ọnụ gị bụ nsi😂😂😂,2,positive,Ọnụ gị bụ nsi😂😂😂
"@user @user Nne, ike gwuru. 🙇🏽‍♂️",2,positive,"Nne, ike gwuru. 🙇🏽‍♂️"
Egwu nke a ririm ọnụ biko😂😂😂 ike gwụrụ 😢 https://t.co/pgKcnIHDoD,2,positive,Egwu nke a ririm ọnụ biko😂😂😂 ike gwụrụ 😢
@user Oga eme gi vum n'anya,2,positive,Oga eme gi vum n'anya
Chukwu ekewekwana ihe ojoo. https://t.co/ODID48VKPt,2,positive,Chukwu ekewekwana ihe ojoo.
tufiakwa onu gi. https://t.co/FDLjDMdv1X,2,positive,tufiakwa onu gi.
@user @user @user @user @user @user Agadi zụkwanụ ike,2,positive,Agadi zụkwanụ ike
@user @user Ndi na emewa m obi,2,positive,Ndi na emewa m obi
Carrie onye ishi mgbaka!,2,positive,Carrie onye ishi mgbaka!
@user Nekwa onye a 🙂🙂,2,positive,Nekwa onye a 🙂🙂
"Ooh, it's actually """"""""Nwa Onye akwuna"""""""" https://t.co/fRntbY1a8o",2,positive,"Ooh, it's actually """"""""Nwa Onye akwuna"""""""""
@user Chineke ekweghi ihe òjòó,2,positive,Chineke ekweghi ihe òjòó
@user @user @user @user @user Mechie ọnụ osiso... https://t.co/iNpwGqp0y2,2,positive,Mechie ọnụ osiso...
@user @user @user @user @user @user @user @user @user @user @user @user @user @user Isi adikwa gi mma? https://t.co/XQX2mxmDbh,2,positive,Isi adikwa gi mma?
@user @user @user @user @user @user @user 😂Lmao Chigemic ur man egbuo gi,2,positive,😂Lmao Chigemic ur man egbuo gi
@user @user Isi adikwa nu gi nma!,2,positive,Isi adikwa nu gi nma!
@user @user No 🧢 bro Ezigbo ndi ālā yíí ákwā,2,positive,No 🧢 bro Ezigbo ndi ālā yíí ákwā
@user @user Agwo tagbuo gi,2,positive,Agwo tagbuo gi
@user 🤣🤣🤣🤣 Ajo mmadu. Till dawn chaa,2,positive,🤣🤣🤣🤣 Ajo mmadu. Till dawn chaa
@user Next week no go bad nah.. But nsogbu bu iga aputakwa aputa,2,positive,Next week no go bad nah.. But nsogbu bu iga aputakwa aputa
@user Mpuru amu nwoke mmadu atago afufu!! Lekwa ka osi jiko the thing 🤦‍♀️🙆‍♀️🤭,2,positive,Mpuru amu nwoke mmadu atago afufu!! Lekwa ka osi jiko the thing 🤦‍♀️🙆‍♀️🤭
Gi na Buhari ga wu onwu ike! https://t.co/htZ0wMk9xf,2,positive,Gi na Buhari ga wu onwu ike!
"@user In other words, ibu akwuna ndi ocha?",2,positive,"In other words, ibu akwuna ndi ocha?"
"@user @user Zuzuru gi gbafou here olukwu, ndi grammar.",2,positive,"Zuzuru gi gbafou here olukwu, ndi grammar."
@user Iweputego is a problem... Amu kwanu nsogbu! 😖,2,positive,Iweputego is a problem... Amu kwanu nsogbu! 😖
Kitikpa aguleri sachie gi utu ohu.. Nonsense!!!! https://t.co/2pZBARCfEk,2,positive,Kitikpa aguleri sachie gi utu ohu.. Nonsense!!!!
"Kemgbe ụwa, @user bụ go dị onye nsogbu 😂😂😂😂 https://t.co/NdStX3a3A6",2,positive,"Kemgbe ụwa, bụ go dị onye nsogbu 😂😂😂😂"
@user Okwa nwa di ala gi oh,2,positive,Okwa nwa di ala gi oh
"@user @user 🤣🤪Omalicha, rapu ndi ala, o ochi isi mgbaka ka fa na achi!",2,positive,"🤣🤪Omalicha, rapu ndi ala, o ochi isi mgbaka ka fa na achi!"
Gasibenụ ike biko na oge adịrọzịị🙄 https://t.co/r3qSYge7U5,2,positive,Gasibenụ ike biko na oge adịrọzịị🙄
@user @user Manz wrote to EU and AU too. ONYE nzuzu,2,positive,Manz wrote to EU and AU too. ONYE nzuzu
Afo sagbuo gi there 😡😡😡😡 https://t.co/4fy3mLJHi5,2,positive,Afo sagbuo gi there 😡😡😡😡
@user @user Taàa mechiegi onu,2,positive,Taàa mechiegi onu
Ezigbo mad o https://t.co/xuxeHj2o3i,2,positive,Ezigbo mad o
"@user Ahhhhhhhh, nsogbu ga adi",2,positive,"Ahhhhhhhh, nsogbu ga adi"
@user Iberibe dị obodo anyị dị egwu...,2,positive,Iberibe dị obodo anyị dị egwu...
Buhari di busy na ebughari Ndi mmadu https://t.co/7PGBMWLn9W,2,positive,Buhari di busy na ebughari Ndi mmadu
@user Taa gbafuo gi there 😂😂,2,positive,Taa gbafuo gi there 😂😂
Nne rie nsị..... Chukwu kpọọ gị ọkụ https://t.co/peBqmNqdhJ,2,positive,Nne rie nsị..... Chukwu kpọọ gị ọkụ
@user 😂😂 Ndị ọsọ chi egbu 😁,2,positive,😂😂 Ndị ọsọ chi egbu 😁
LOL Wike is a true Obio Akpo man! No joy 😄 https://t.co/d5xTP6kSJP,2,positive,LOL Wike is a true Obio Akpo man! No joy 😄
